GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
55003,050,55,003,99999,999,,,Ashland County,16157,9656,16866,8883,16157,16866
55005,050,55,005,99999,999,,,Barron County,45870,23614,44963,20969,45870,44963
55007,050,55,007,99999,999,,,Bayfield County,15014,12999,15013,11640,15014,15013
55009,050,55,009,24580,999,,,Brown County,248007,104371,226778,90199,248007,226778
55011,050,55,011,99999,999,,,Buffalo County,13587,6664,13804,6098,13587,13804
55013,050,55,013,99999,999,,,Burnett County,15457,15278,15674,12582,15457,15674
55015,050,55,015,11540,118,,,Calumet County,48971,19695,40631,15758,48971,40631
55017,050,55,017,20740,232,,,Chippewa County,62415,27185,55195,22821,62415,55195
55019,050,55,019,99999,999,,,Clark County,34690,15076,33557,13531,34690,33557
55023,050,55,023,99999,999,,,Crawford County,16644,8802,17243,8480,16644,17243
55031,050,55,031,20260,999,,,Douglas County,44159,22825,43287,20356,44159,43287
55035,050,55,035,20740,232,,,Eau Claire County,98736,42151,93142,37474,98736,93142
55037,050,55,037,27020,999,,,Florence County,4423,4780,5088,4239,4423,5088
55039,050,55,039,22540,252,,,Fond du Lac County,101633,43910,97296,39271,101633,97296
55043,050,55,043,38420,999,,,Grant County,51208,21581,49597,19940,51208,49597
55045,050,55,045,33820,999,,,Green County,36842,15856,33647,13878,36842,33647
55047,050,55,047,99999,999,,,Green Lake County,19051,10616,19105,9831,19051,19105
55049,050,55,049,31540,358,,,Iowa County,23687,10719,22780,9579,23687,22780
55053,050,55,053,99999,999,,,Jackson County,20449,9727,19100,8029,20449,19100
55055,050,55,055,48020,999,,,Jefferson County,83686,35147,74021,30092,83686,74021
55063,050,55,063,29100,999,,,La Crosse County,114638,48402,107120,43479,114638,107120
55065,050,55,065,99999,999,,,Lafayette County,16836,7230,16137,6674,16836,16137
55069,050,55,069,32980,554,,,Lincoln County,28743,16784,29641,14681,28743,29641
55071,050,55,071,31820,999,,,Manitowoc County,81442,37189,82887,34651,81442,82887
55073,050,55,073,48140,554,,,Marathon County,134063,57734,125834,50360,134063,125834
55079,050,55,079,33340,376,,,Milwaukee County,947735,418053,940164,400093,947735,940164
55081,050,55,081,99999,999,,,Monroe County,44673,19204,40899,16672,44673,40899
55083,050,55,083,24580,999,,,Oconto County,37660,23537,35634,19812,37660,35634
55087,050,55,087,11540,118,,,Outagamie County,176695,73149,160971,62614,176695,160971
55091,050,55,091,99999,999,,,Pepin County,7469,3579,7213,3036,7469,7213
55095,050,55,095,99999,999,,,Polk County,44205,24248,41319,21129,44205,41319
55097,050,55,097,44620,999,,,Portage County,70019,30054,67182,26589,70019,67182
55099,050,55,099,99999,999,,,Price County,14159,11120,15822,9574,14159,15822
55105,050,55,105,27500,999,,,Rock County,160331,68422,152307,62187,160331,152307
55107,050,55,107,99999,999,,,Rusk County,14755,8883,15347,7609,14755,15347
55109,050,55,109,33460,378,,,St. Croix County,84345,33983,63155,24265,84345,63155
55111,050,55,111,12660,358,,,Sauk County,61976,29708,55225,24297,61976,55225
55115,050,55,115,99999,999,,,Shawano County,41949,20720,40664,18317,41949,40664
55119,050,55,119,99999,999,,,Taylor County,20689,10582,19680,8595,20689,19680
55121,050,55,121,99999,999,,,Trempealeau County,28816,12619,27010,11482,28816,27010
55123,050,55,123,99999,999,,,Vernon County,29773,13720,28056,12416,29773,28056
55127,050,55,127,48580,999,,,Walworth County,102228,51531,93759,43783,102228,93759
55129,050,55,129,99999,999,,,Washburn County,15911,12979,16036,10814,15911,16036
55131,050,55,131,33340,376,,,Washington County,131887,54695,117493,45808,131887,117493
55133,050,55,133,33340,376,,,Waukesha County,389891,160864,360767,140309,389891,360767
55137,050,55,137,99999,999,,,Waushara County,24496,14843,23154,13667,24496,23154
55139,050,55,139,36780,118,,,Winnebago County,166994,73329,156763,64721,166994,156763
55141,050,55,141,32270,999,,,Wood County,74749,34088,75555,31691,74749,75555
55025,050,55,025,31540,358,,,Dane County,488073,216022,426526,180398,488073,426526
55041,050,55,041,99999,999,,,Forest County,9304,8970,10024,8322,9304,10024
55059,050,55,059,16980,176,,,Kenosha County,166426,69288,149577,59989,166426,149577
55061,050,55,061,24580,999,,,Kewaunee County,20574,9304,20187,8221,20574,20187
55078,050,55,078,99999,999,,,Menominee County,4232,2253,4562,2098,4232,4562
55089,050,55,089,33340,376,,,Ozaukee County,86395,36267,82317,32034,86395,82317
55101,050,55,101,39540,376,,,Racine County,195408,82164,188831,74718,195408,188831
55001,050,55,001,99999,999,,,Adams County,20875,17436,18643,14123,20875,18643
55021,050,55,021,31540,358,,,Columbia County,56833,26137,52468,22685,56833,52468
55027,050,55,027,13180,252,,,Dodge County,88759,37005,85897,33672,88759,85897
55029,050,55,029,99999,999,,,Door County,27785,23966,27961,19587,27785,27961
55033,050,55,033,32860,232,,,Dunn County,43857,17964,39858,15277,43857,39858
55051,050,55,051,99999,999,,,Iron County,5916,5999,6861,5706,5916,6861
55057,050,55,057,99999,999,,,Juneau County,26664,14669,24316,12370,26664,24316
55067,050,55,067,99999,999,,,Langlade County,19977,12360,20740,11187,19977,20740
55075,050,55,075,31940,999,,,Marinette County,41749,30379,43384,26260,41749,43384
55077,050,55,077,99999,999,,,Marquette County,15404,9896,15832,8664,15404,15832
55085,050,55,085,99999,999,,,Oneida County,35998,30125,36776,26627,35998,36776
55093,050,55,093,33460,378,,,Pierce County,41019,16132,36804,13493,41019,36804
55103,050,55,103,99999,999,,,Richland County,18021,8868,17924,8164,18021,17924
55113,050,55,113,99999,999,,,Sawyer County,16557,15975,16196,13722,16557,16196
55117,050,55,117,43100,999,,,Sheboygan County,115507,50766,112646,45947,115507,112646
55125,050,55,125,99999,999,,,Vilas County,21430,25116,21033,22397,21430,21033
55135,050,55,135,99999,999,,,Waupaca County,52410,25396,51731,22508,52410,51731
